Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Potassium, K","Calcium, Ca","Magnesium, Mg"
"Egg, whole, raw, frozen, salted, pasteurized",138.0,11.0,10.1,0.83,128.0,55.0,9.0
"Egg, yolk, raw, frozen, salted, pasteurized",275.0,14.1,22.9,1.77,111.0,113.0,7.0
"Egg, yolk, raw, frozen, sugared, pasteurized",307.0,13.9,22.8,11.0,105.0,124.0,10.0
"Babyfood, cereal, egg yolks and bacon, junior",79.0,2.5,5.0,6.2,35.0,28.0,5.0
"BURGER KING, CROISSAN'WICH with Sausage, Egg and Cheese",308.0,12.1,21.8,15.9,158.0,90.0,17.0
"Fast foods, biscuit, with egg, cheese, and bacon",301.0,12.0,17.5,24.4,131.0,103.0,15.0
"Fast foods, croissant, with egg, cheese, and bacon",289.0,12.9,16.4,22.5,160.0,146.0,17.0
"Fast foods, croissant, with egg, cheese, and ham",261.0,12.4,15.0,19.0,179.0,95.0,17.0
"Fast foods, croissant, with egg, cheese, and sausage",308.0,12.1,21.8,15.9,158.0,90.0,17.0
"Noodles, egg, cooked, enriched, with added salt",138.0,4.54,2.07,25.2,38.0,12.0,21.0
"Noodles, egg, cooked, unenriched, with added salt",138.0,4.54,2.07,25.2,38.0,12.0,21.0
"Pasta, homemade, made without egg, cooked",124.0,4.37,0.98,25.1,19.0,6.0,14.0
"Turnover, filled with egg, meat and cheese, frozen",228.0,7.87,12.6,20.7,177.0,79.0,16.0
Wonton wrappers (includes egg roll wrappers),291.0,9.8,1.5,57.9,82.0,47.0,20.0
"Egg, white, dried, flakes, stabilized, glucose reduced",351.0,76.9,0.04,4.17,1040.0,83.0,67.0
"Egg, white, dried, powder, stabilized, glucose reduced",376.0,82.4,0.04,4.47,1120.0,89.0,72.0
"Desserts, egg custard, baked, prepared-from-recipe",104.0,5.02,4.58,11.0,148.0,107.0,11.0
"Egg custards, dry mix, prepared with 2% milk",112.0,4.13,2.83,17.6,214.0,146.0,17.0
"Egg custards, dry mix, prepared with whole milk",122.0,3.99,4.0,17.6,207.0,139.0,16.0
"Fast foods, breakfast burrito, with egg, cheese, and sausage",277.0,11.1,15.6,23.0,150.0,132.0,18.0
"Fast foods, english muffin, with egg, cheese, and sausage",286.0,13.4,18.1,17.4,147.0,168.0,17.0
"Fish, herring eggs, Pacific, dry (Alaska Native)",312.0,60.4,6.6,2.8,,29.0,
"Fish, herring eggs, Pacific, plain (Alaska Native)",74.0,9.6,1.93,4.47,,19.0,
"Noodles, egg, unenriched, cooked, without added salt",138.0,4.54,2.07,25.2,38.0,12.0,21.0
"Fast foods, bagel, with breakfast steak, egg, cheese, and condiments",282.0,16.0,14.1,23.0,145.0,93.0,22.0
"Fast foods, bagel, with egg, sausage patty, cheese, and condiments",295.0,13.0,17.0,22.6,123.0,94.0,20.0
"Fast foods, english muffin, with egg, cheese, and canadian bacon",228.0,13.6,9.66,21.7,173.0,192.0,20.0
"Fast foods, griddle cake sandwich, egg, cheese, and bacon",272.0,12.0,13.2,26.2,158.0,109.0,21.0
"Fast foods, griddle cake sandwich, egg, cheese, and sausage",291.0,10.8,17.7,22.0,146.0,96.0,14.0
"Fish, herring eggs on giant kelp, Pacific (Alaska Native)",63.0,11.3,0.8,2.6,,161.0,
"Cereals, QUAKER, Instant Oatmeal, DINOSAUR EGGS, Brown Sugar, dry",384.0,8.69,7.59,73.7,250.0,220.0,89.0
"JIMMY DEAN, Sausage, Egg, and Cheese Breakfast Biscuit, frozen, unprepared",328.0,9.29,22.9,21.1,292.0,137.0,15.0
"Bread, cornbread, dry mix, prepared with 2% milk, 80% margarine, and eggs",330.0,6.59,9.58,54.5,133.0,135.0,17.0
"Pudding, lemon, dry mix, regular, prepared with sugar, egg yolk and water",109.0,0.65,1.12,24.2,6.0,8.0,1.0
"Egg, whole, raw, frozen, pasteurized (Includes foods for USDA's Food Distribution Program)",147.0,12.3,9.95,1.01,135.0,62.0,9.0
"Beverage, instant breakfast powder, chocolate, not reconstituted",353.0,19.9,1.4,66.2,947.0,285.0,228.0
"Beverage, instant breakfast powder, chocolate, sugar-free, not reconstituted",358.0,35.8,5.1,41.0,1700.0,500.0,410.0
"Butter oil, anhydrous",876.0,0.28,99.5,0.0,5.0,4.0,0.0
"Butter, Clarified butter (ghee)",900.0,0.0,100.0,0.0,,0.0,
"Butter, salted",717.0,0.85,81.1,0.06,24.0,24.0,2.0
"Butter, whipped, with salt",731.0,0.49,78.3,0.0,41.0,23.0,1.0
"Butter, without salt",717.0,0.85,81.1,0.06,24.0,24.0,2.0
"Cheese food, cold pack, American",331.0,19.7,24.5,8.32,363.0,497.0,30.0
"Cheese food, pasteurized process, American, vitamin D fortified",330.0,16.9,25.6,8.56,255.0,682.0,27.0
"Cheese food, pasteurized process, American, without added vitamin D",330.0,16.9,25.6,8.56,255.0,682.0,27.0
"Cheese food, pasteurized process, swiss",323.0,21.9,24.1,4.5,284.0,723.0,28.0
"Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D",240.0,17.6,14.1,10.6,330.0,529.0,33.0
"Cheese product, pasteurized process, American, vitamin D fortified",307.0,16.1,23.1,8.85,295.0,1380.0,34.0
"Cheese sauce, prepared from recipe",197.0,10.3,14.9,5.48,142.0,311.0,19.0
"Cheese spread, American or Cheddar cheese base, reduced fat",176.0,13.4,8.88,10.7,250.0,557.0,27.0
"Cheese spread, cream cheese base",295.0,7.1,28.6,3.5,112.0,71.0,6.0
"Cheese spread, pasteurized process, American",290.0,16.4,21.2,8.73,242.0,562.0,29.0
"Cheese substitute, mozzarella",248.0,11.5,12.2,23.7,455.0,610.0,41.0
"Cheese, american cheddar, imitation",239.0,16.7,14.0,11.6,242.0,562.0,29.0
"Cheese, American, nonfat or fat free",126.0,21.0,0.0,10.5,393.0,789.0,115.0
"Cheese, blue",353.0,21.4,28.7,2.34,256.0,528.0,23.0
"Cheese, brick",371.0,23.2,29.7,2.79,136.0,674.0,24.0
"Cheese, brie",334.0,20.8,27.7,0.45,152.0,184.0,20.0
"Cheese, camembert",300.0,19.8,24.3,0.46,187.0,388.0,20.0
"Cheese, caraway",376.0,25.2,29.2,3.06,93.0,673.0,22.0
"Cheese, cheddar (Includes foods for USDA's Food Distribution Program)",403.0,22.9,33.3,3.37,76.0,710.0,27.0
"Cheese, cheddar, nonfat or fat free",157.0,32.1,0.0,7.14,66.0,893.0,16.0
"Cheese, cheddar, reduced fat (Includes foods for USDA's Food Distribution Program)",316.0,27.4,20.4,2.67,63.0,761.0,27.0
"Cheese, cheddar, sharp, sliced",410.0,24.2,33.8,2.13,76.0,711.0,27.0
"Cheese, cheshire",387.0,23.4,30.6,4.78,95.0,643.0,21.0
"Cheese, colby",394.0,23.8,32.1,2.57,127.0,685.0,26.0
"Cheese, cottage, creamed, large or small curd",98.0,11.1,4.3,3.38,104.0,83.0,8.0
"Cheese, cottage, creamed, with fruit",97.0,10.7,3.85,4.61,90.0,53.0,7.0
"Cheese, cottage, lowfat, 1% milkfat",72.0,12.4,1.02,2.72,86.0,61.0,5.0
"Cheese, cottage, lowfat, 1% milkfat, lactose reduced",74.0,12.4,1.0,3.2,86.0,53.0,5.0
"Cheese, cottage, lowfat, 1% milkfat, no sodium added",72.0,12.4,1.0,2.7,86.0,61.0,5.0
"Cheese, cottage, lowfat, 1% milkfat, with vegetables",67.0,10.9,1.0,3.0,86.0,56.0,4.0
"Cheese, cottage, lowfat, 2% milkfat",81.0,10.4,2.27,4.76,125.0,111.0,9.0
"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",72.0,10.3,0.29,6.66,137.0,86.0,11.0
"Cheese, cottage, with vegetables",95.0,10.9,4.2,3.0,86.0,56.0,4.0
"Cheese, cream",350.0,6.15,34.4,5.52,132.0,97.0,9.0
"Cheese, cream, fat free",105.0,15.7,1.0,7.66,278.0,351.0,22.0
"Cheese, cream, low fat",208.0,7.85,16.7,6.73,247.0,148.0,8.0
"Cheese, dry white, queso seco",325.0,24.5,24.4,2.04,116.0,661.0,27.0
"Cheese, edam",357.0,25.0,28.6,1.43,188.0,731.0,30.0
"Cheese, feta",265.0,14.2,21.5,3.88,62.0,493.0,19.0
"Cheese, fontina",389.0,25.6,31.1,1.55,64.0,550.0,14.0
"Cheese, fresh, queso fresco",299.0,18.1,23.8,2.98,129.0,566.0,24.0
"Cheese, gjetost",466.0,9.65,29.5,42.6,1410.0,400.0,70.0
"Cheese, goat, hard type",452.0,30.5,35.6,2.17,48.0,895.0,54.0
"Cheese, goat, semisoft type",364.0,21.6,29.8,0.12,158.0,298.0,29.0
"Cheese, goat, soft type",264.0,18.5,21.1,0.0,26.0,140.0,16.0
"Cheese, gouda",356.0,24.9,27.4,2.22,121.0,700.0,29.0
"Cheese, gruyere",413.0,29.8,32.3,0.36,81.0,1010.0,36.0
"Cheese, limburger",327.0,20.0,27.2,0.49,128.0,497.0,21.0
"Cheese, low fat, cheddar or colby",173.0,24.4,7.0,1.91,66.0,415.0,16.0
"Cheese, low-sodium, cheddar or colby",398.0,24.4,32.6,1.91,112.0,703.0,27.0
"Cheese, Mexican blend",384.0,23.5,32.1,0.13,85.0,659.0,25.0
"Cheese, Mexican, blend, reduced fat",282.0,24.7,19.4,3.41,93.0,1150.0,35.0
"Cheese, mexican, queso anejo",373.0,21.4,30.0,4.63,87.0,680.0,28.0
"Cheese, mexican, queso asadero",356.0,22.6,25.0,4.13,86.0,661.0,26.0
"Cheese, mexican, queso chihuahua",374.0,21.6,29.7,5.56,52.0,651.0,23.0
"Cheese, mexican, queso cotija",366.0,20.0,30.0,3.97,125.0,800.0,38.0
"Cheese, monterey",373.0,24.5,30.3,0.68,81.0,746.0,27.0
"Cheese, monterey, low fat",313.0,28.2,21.6,0.7,81.0,705.0,27.0
"Cheese, mozzarella, low moisture, part-skim",295.0,23.8,19.8,5.58,188.0,697.0,27.0
"Cheese, mozzarella, low moisture, part-skim, shredded",304.0,23.6,19.7,8.06,131.0,716.0,29.0
"Cheese, mozzarella, low sodium",280.0,27.5,17.1,3.1,95.0,731.0,26.0
"Cheese, mozzarella, nonfat",141.0,31.7,0.0,3.5,106.0,961.0,33.0
"Cheese, mozzarella, part skim milk",254.0,24.3,15.9,2.77,84.0,782.0,23.0
"Cheese, mozzarella, whole milk",299.0,22.2,22.1,2.4,76.0,505.0,20.0
"Cheese, mozzarella, whole milk, low moisture",318.0,21.6,24.6,2.47,75.0,575.0,21.0
"Cheese, muenster",368.0,23.4,30.0,1.12,134.0,717.0,27.0
"Cheese, muenster, low fat",271.0,24.7,17.6,3.5,134.0,529.0,27.0
"Cheese, neufchatel",253.0,9.15,22.8,3.59,152.0,117.0,10.0
"Cheese, parmesan, dry grated, reduced fat",265.0,20.0,20.0,1.37,125.0,1110.0,38.0
"Cheese, parmesan, grated",420.0,28.4,27.8,13.9,180.0,853.0,34.0
"Cheese, parmesan, hard",392.0,35.8,25.0,3.22,92.0,1180.0,44.0
"Cheese, parmesan, low sodium",451.0,41.6,30.0,3.7,107.0,800.0,51.0
"Cheese, parmesan, shredded",415.0,37.9,27.3,3.41,97.0,1250.0,51.0
"Cheese, pasteurized process, American, fortified with vitamin D",366.0,18.1,30.7,4.78,132.0,1040.0,26.0
"Cheese, pasteurized process, American, low fat",180.0,24.6,7.0,3.5,180.0,684.0,24.0
"Cheese, pasteurized process, American, without added vitamin D",371.0,18.1,31.8,3.7,132.0,1040.0,26.0
"Cheese, pasteurized process, cheddar or American, low sodium",376.0,22.2,31.2,1.6,162.0,616.0,22.0
"Cheese, pasteurized process, pimento",375.0,22.1,31.2,1.73,162.0,614.0,22.0
"Cheese, pasteurized process, swiss",334.0,24.7,25.0,2.1,216.0,772.0,29.0
"Cheese, port de salut",352.0,23.8,28.2,0.57,136.0,650.0,24.0
"Cheese, provolone",351.0,25.6,26.6,2.14,138.0,756.0,28.0
"Cheese, provolone, reduced fat",274.0,24.7,17.6,3.5,138.0,756.0,28.0
"Cheese, ricotta, part skim milk",138.0,11.4,7.91,5.14,125.0,272.0,15.0
"Cheese, ricotta, whole milk",150.0,7.54,10.2,7.27,219.0,206.0,20.0
"Cheese, romano",387.0,31.8,26.9,3.63,86.0,1060.0,41.0
"Cheese, roquefort",369.0,21.5,30.6,2.0,91.0,662.0,30.0
"Cheese, swiss",393.0,27.0,31.0,1.44,72.0,890.0,33.0
"Cheese, swiss, low fat",179.0,28.4,5.1,3.4,111.0,961.0,36.0
"Cheese, swiss, low sodium",374.0,28.4,27.4,3.4,111.0,961.0,36.0
"Cheese, Swiss, nonfat or fat free",127.0,28.4,0.0,3.4,111.0,961.0,36.0
"Cheese, tilsit",340.0,24.4,26.0,1.88,65.0,700.0,13.0
"Cheese, white, queso blanco",310.0,20.4,24.3,2.53,126.0,690.0,29.0
"Cream substitute, flavored, liquid",251.0,0.69,13.5,35.1,96.0,6.0,19.0
"Cream substitute, flavored, powdered",482.0,0.68,21.5,75.4,90.0,5.0,17.0
"Cream substitute, liquid, light",71.0,0.8,3.5,9.1,177.0,1.0,0.0
"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",136.0,1.0,9.97,11.4,191.0,9.0,0.0
"Cream substitute, liquid, with lauric acid oil and sodium caseinate",136.0,1.0,9.97,11.4,191.0,9.0,0.0
"Cream substitute, powdered",529.0,2.48,32.9,59.3,669.0,2.0,1.0
"Cream substitute, powdered, light",431.0,1.9,15.7,73.4,902.0,1.0,0.0
"Cream, fluid, half and half",131.0,3.13,11.5,4.3,132.0,107.0,10.0
"Cream, fluid, heavy whipping",340.0,2.84,36.1,2.84,95.0,66.0,7.0
"Cream, fluid, light (coffee cream or table cream)",195.0,2.96,19.1,3.66,136.0,91.0,9.0
"Cream, fluid, light whipping",292.0,2.17,30.9,2.96,97.0,69.0,7.0
"Cream, half and half, fat free",59.0,2.6,1.4,9.0,206.0,96.0,16.0
"Cream, half and half, lowfat",72.0,3.33,5.0,3.33,132.0,133.0,10.0
"Cream, sour, cultured",198.0,2.44,19.4,4.63,125.0,101.0,10.0
"Cream, sour, reduced fat, cultured",135.0,2.94,12.0,4.26,129.0,104.0,10.0
"Cream, whipped, cream topping, pressurized",257.0,3.2,22.2,12.5,147.0,101.0,11.0
"Dessert topping, powdered",577.0,4.9,39.9,52.5,166.0,17.0,7.0
"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",194.0,3.61,12.7,17.1,151.0,90.0,10.0
"Dessert topping, pressurized",264.0,0.98,22.3,16.1,19.0,5.0,1.0
"Dessert topping, semi solid, frozen",318.0,1.25,25.3,23.0,18.0,6.0,2.0
Dulce de Leche,315.0,6.84,7.35,55.4,350.0,251.0,22.0
Eggnog,88.0,4.55,4.19,8.05,165.0,130.0,19.0
"Fat free ice cream, no sugar added, flavors other than chocolate",133.0,4.41,0.0,28.9,196.0,147.0,9.0
"Ice cream bar, covered with chocolate and nuts",303.0,5.62,25.8,11.9,304.0,90.0,37.0
"Ice cream bar, stick or nugget, with crunch coating",358.0,2.11,25.3,37.1,71.0,63.0,11.0
"Ice cream cone, chocolate covered, with nuts, flavors other than chocolate",354.0,5.21,21.9,34.4,222.0,63.0,29.0
Ice cream cookie sandwich,240.0,3.7,7.4,39.6,68.0,73.0,16.0
Ice cream sandwich,237.0,4.29,8.57,37.1,115.0,86.0,29.0
"Ice cream sandwich, made with light ice cream, vanilla",186.0,4.29,3.04,39.6,41.0,30.0,10.0
"Ice cream sandwich, vanilla, light, no sugar added",200.0,5.71,2.86,42.9,41.0,86.0,10.0
Ice cream sundae cone,254.0,3.0,14.0,28.9,204.0,60.0,20.0
"Ice cream, bar or stick, chocolate covered",331.0,4.1,24.1,24.5,305.0,119.0,28.0
"Ice cream, light, soft serve, chocolate",141.0,3.36,3.69,23.2,207.0,134.0,36.0
"Ice cream, lowfat, no sugar added, cone, added peanuts and chocolate sauce",265.0,5.33,9.33,40.0,213.0,133.0,65.0
"Ice cream, soft serve, chocolate",222.0,4.1,13.0,22.2,177.0,131.0,12.0
"Imitation cheese, american or cheddar, low cholesterol",390.0,25.0,32.0,1.0,55.0,705.0,30.0
"Kefir, lowfat, plain, LIFEWAY",43.0,3.79,1.02,4.77,164.0,130.0,12.0
"Kefir, lowfat, strawberry, LIFEWAY",62.0,3.39,0.9,10.2,154.0,119.0,11.0
KRAFT BREAKSTONE'S FREE Fat Free Sour Cream,91.0,4.7,1.3,15.1,219.0,141.0,
KRAFT BREAKSTONE'S Reduced Fat Sour Cream,152.0,4.5,12.0,6.5,210.0,161.0,
KRAFT CHEEZ WHIZ LIGHT Pasteurized Process Cheese Product,215.0,16.3,9.5,16.2,297.0,418.0,
KRAFT CHEEZ WHIZ Pasteurized Process Cheese Sauce,276.0,12.0,21.0,9.2,240.0,359.0,
KRAFT FREE Singles American Nonfat Pasteurized Process Cheese Product,148.0,22.7,1.0,11.7,236.0,712.0,
KRAFT VELVEETA LIGHT Reduced Fat Pasteurized Process Cheese Product,222.0,19.6,10.6,11.8,345.0,574.0,
KRAFT VELVEETA Pasteurized Process Cheese Spread,303.0,16.3,22.0,9.8,335.0,466.0,
"Light ice cream, Creamsicle",165.0,1.54,3.08,32.8,174.0,62.0,12.0
"Milk dessert bar, frozen, made from lowfat milk",147.0,4.41,1.47,32.0,316.0,184.0,20.0
"Milk shakes, thick chocolate",119.0,3.05,2.7,21.2,224.0,132.0,16.0
"Milk shakes, thick vanilla",112.0,3.86,3.03,17.8,183.0,146.0,12.0
"Milk substitutes, fluid, with lauric acid oil",61.0,1.75,3.41,6.16,114.0,33.0,6.0
"Milk, buttermilk, dried",387.0,34.3,5.78,49.0,1590.0,1180.0,110.0
"Milk, buttermilk, fluid, cultured, lowfat",40.0,3.31,1.07,4.79,151.0,116.0,11.0
"Milk, buttermilk, fluid, cultured, reduced fat",56.0,4.1,2.0,5.3,180.0,143.0,13.0
"Milk, buttermilk, fluid, whole",62.0,3.21,3.31,4.88,135.0,115.0,10.0
"Milk, canned, condensed, sweetened",321.0,7.91,8.7,54.4,371.0,284.0,26.0
"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",78.0,7.55,0.2,11.4,332.0,290.0,27.0
"Milk, canned, evaporated, with added vitamin A",134.0,6.81,7.56,10.0,303.0,261.0,24.0
"Milk, canned, evaporated, with added vitamin D and without added vitamin A",134.0,6.81,7.56,10.0,303.0,261.0,24.0
"Milk, chocolate beverage, hot cocoa, homemade",77.0,3.52,2.34,10.7,197.0,114.0,23.0
"Milk, chocolate, fat free, with added vitamin A and vitamin D",67.0,3.39,0.0,13.5,182.0,127.0,13.0
"Milk, chocolate, fluid, commercial, reduced fat, with added calcium",78.0,2.99,1.9,12.1,123.0,194.0,14.0
"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",76.0,2.99,1.9,12.1,169.0,109.0,14.0
"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",83.0,3.17,3.39,10.3,167.0,112.0,13.0
"Milk, chocolate, lowfat, reduced sugar",57.0,3.43,1.04,7.68,168.0,122.0,13.0
"Milk, chocolate, lowfat, with added vitamin A and vitamin D",64.0,3.46,1.11,10.2,172.0,129.0,13.0
"Milk, dry, nonfat, calcium reduced",354.0,35.5,0.2,51.8,680.0,280.0,60.0
"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",358.0,35.1,0.72,52.2,1700.0,1230.0,117.0
"Milk, dry, nonfat, instant, without added vitamin A and vitamin D",358.0,35.1,0.72,52.2,1700.0,1230.0,117.0
"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",362.0,36.2,0.77,52.0,1790.0,1260.0,110.0
"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",362.0,36.2,0.77,52.0,1790.0,1260.0,110.0
"Milk, dry, whole, with added vitamin D",496.0,26.3,26.7,38.4,1330.0,912.0,85.0
"Milk, dry, whole, without added vitamin D",496.0,26.3,26.7,38.4,1330.0,912.0,85.0
"Milk, evaporated, 2% fat, with added vitamin A and vitamin D",107.0,6.67,2.0,15.7,303.0,267.0,24.0
"Milk, filled, fluid, with blend of hydrogenated vegetable oils",63.0,3.33,3.46,4.74,139.0,128.0,13.0
"Milk, filled, fluid, with lauric acid oil",63.0,3.33,3.4,4.74,139.0,128.0,13.0
"Milk, fluid, 1% fat, without added vitamin A and vitamin D",42.0,3.37,0.97,4.99,150.0,125.0,11.0
"Milk, fluid, nonfat, calcium fortified (fat free or skim)",35.0,3.4,0.18,4.85,166.0,204.0,11.0
"Milk, goat, fluid, with added vitamin D",69.0,3.56,4.14,4.45,204.0,134.0,14.0
"Milk, human, mature, fluid (For Reference Only)",70.0,1.03,4.38,6.89,51.0,32.0,3.0
"Milk, imitation, non-soy",46.0,1.6,2.0,5.3,150.0,82.0,1.0
"Milk, indian buffalo, fluid",97.0,3.75,6.89,5.18,178.0,169.0,31.0
"Milk, low sodium, fluid",61.0,3.1,3.46,4.46,253.0,101.0,5.0
"Milk, lowfat, fluid, 1% milkfat, protein fortified, with added vitamin A and vitamin D",48.0,3.93,1.17,5.52,180.0,142.0,16.0
"Milk, lowfat, fluid, 1% milkfat, with added nonfat milk solids, vitamin A and vitamin D",43.0,3.48,0.97,4.97,162.0,128.0,14.0
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",42.0,3.37,0.97,4.99,150.0,125.0,11.0
"Milk, nonfat, fluid, protein fortified, with added vitamin A and vitamin D (fat free and skim)",41.0,3.96,0.25,5.56,182.0,143.0,16.0
"Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)",37.0,3.57,0.25,5.02,171.0,129.0,15.0
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",34.0,3.37,0.08,4.96,156.0,122.0,11.0
"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",35.0,3.37,0.18,4.86,156.0,122.0,11.0
"Milk, producer, fluid, 3.7% milkfat",64.0,3.28,3.66,4.65,151.0,119.0,13.0
"Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D",56.0,3.95,1.98,5.49,182.0,143.0,16.0
"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids and vitamin A and vitamin D",51.0,3.48,1.92,4.97,162.0,128.0,14.0
"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids, without added vitamin A",56.0,3.95,1.98,5.49,182.0,143.0,15.0
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",50.0,3.3,1.98,4.8,140.0,120.0,11.0
