,Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Potassium, K","Calcium, Ca","Magnesium, Mg",Category
50,"Cheese, cheddar, sharp, sliced",410.0,24.2,33.8,2.13,76.0,711.0,27.0,cheese
51,"Cheese, cottage, creamed, with fruit",97.0,10.7,3.85,4.61,90.0,53.0,7.0,cheese
52,"Cheese, cream, fat free",105.0,15.7,1.0,7.66,278.0,351.0,22.0,cheese
53,"Cheese, cream, low fat",208.0,7.85,16.7,6.73,247.0,148.0,8.0,cheese
54,"Cheese, fresh, queso fresco",299.0,18.1,23.8,2.98,129.0,566.0,24.0,cheese
55,"Cheese, goat, hard type",452.0,30.5,35.6,2.17,48.0,895.0,54.0,cheese
56,"Cheese, goat, semisoft type",364.0,21.6,29.8,0.12,158.0,298.0,29.0,cheese
57,"Cheese, goat, soft type",264.0,18.5,21.1,0.0,26.0,140.0,16.0,cheese
58,"Cheese, mexican, queso anejo",373.0,21.4,30.0,4.63,87.0,680.0,28.0,cheese
59,"Cheese, mexican, queso asadero",356.0,22.6,25.0,4.13,86.0,661.0,26.0,cheese
60,"Cheese, mexican, queso chihuahua",374.0,21.6,29.7,5.56,52.0,651.0,23.0,cheese
61,"Cheese, mexican, queso cotija",366.0,20.0,30.0,3.97,125.0,800.0,38.0,cheese
62,"Cheese, monterey, low fat",313.0,28.2,21.6,0.7,81.0,705.0,27.0,cheese
63,"Cheese, mozzarella, low sodium",280.0,27.5,17.1,3.1,95.0,731.0,26.0,cheese
64,"Cheese, mozzarella, whole milk",299.0,22.2,22.1,2.4,76.0,505.0,20.0,cheese
65,"Cheese, muenster, low fat",271.0,24.7,17.6,3.5,134.0,529.0,27.0,cheese
66,"Cheese, parmesan, low sodium",451.0,41.6,30.0,3.7,107.0,800.0,51.0,cheese
67,"Cheese, pasteurized process, pimento",375.0,22.1,31.2,1.73,162.0,614.0,22.0,cheese
68,"Cheese, pasteurized process, swiss",334.0,24.7,25.0,2.1,216.0,772.0,29.0,cheese
69,"Cheese, port de salut",352.0,23.8,28.2,0.57,136.0,650.0,24.0,cheese
70,"Cheese, provolone, reduced fat",274.0,24.7,17.6,3.5,138.0,756.0,28.0,cheese
71,"Cheese, ricotta, whole milk",150.0,7.54,10.2,7.27,219.0,206.0,20.0,cheese
72,"Cheese, swiss, low fat",179.0,28.4,5.1,3.4,111.0,961.0,36.0,cheese
73,"Cheese, swiss, low sodium",374.0,28.4,27.4,3.4,111.0,961.0,36.0,cheese
74,"Cheese, white, queso blanco",310.0,20.4,24.3,2.53,126.0,690.0,29.0,cheese
106,"Cheese, cheddar, nonfat or fat free",157.0,32.1,0.0,7.14,66.0,893.0,16.0,cheese
107,"Cheese, cottage, lowfat, 1% milkfat",72.0,12.4,1.02,2.72,86.0,61.0,5.0,cheese
108,"Cheese, cottage, lowfat, 2% milkfat",81.0,10.4,2.27,4.76,125.0,111.0,9.0,cheese
109,"Cheese, dry white, queso seco",325.0,24.5,24.4,2.04,116.0,661.0,27.0,cheese
110,"Cheese, low fat, cheddar or colby",173.0,24.4,7.0,1.91,66.0,415.0,16.0,cheese
111,"Cheese, low-sodium, cheddar or colby",398.0,24.4,32.6,1.91,112.0,703.0,27.0,cheese
112,"Cheese, Mexican, blend, reduced fat",282.0,24.7,19.4,3.41,93.0,1150.0,35.0,cheese
113,"Cheese, mozzarella, part skim milk",254.0,24.3,15.9,2.77,84.0,782.0,23.0,cheese
114,"Cheese, ricotta, part skim milk",138.0,11.4,7.91,5.14,125.0,272.0,15.0,cheese
115,"Cheese, Swiss, nonfat or fat free",127.0,28.4,0.0,3.4,111.0,961.0,36.0,cheese
136,"Cheese, cottage, creamed, large or small curd",98.0,11.1,4.3,3.38,104.0,83.0,8.0,cheese
137,"Cheese, cottage, lowfat, 1% milkfat, with vegetables",67.0,10.9,1.0,3.0,86.0,56.0,4.0,cheese
138,"Cheese, mozzarella, low moisture, part-skim",295.0,23.8,19.8,5.58,188.0,697.0,27.0,cheese
139,"Cheese, mozzarella, whole milk, low moisture",318.0,21.6,24.6,2.47,75.0,575.0,21.0,cheese
140,"Cheese, parmesan, dry grated, reduced fat",265.0,20.0,20.0,1.37,125.0,1110.0,38.0,cheese
161,"Cheese, cottage, lowfat, 1% milkfat, lactose reduced",74.0,12.4,1.0,3.2,86.0,53.0,5.0,cheese
162,"Cheese, cottage, lowfat, 1% milkfat, no sodium added",72.0,12.4,1.0,2.7,86.0,61.0,5.0,cheese
163,"Cheese, mozzarella, low moisture, part-skim, shredded",304.0,23.6,19.7,8.06,131.0,716.0,29.0,cheese
199,"Cheese, cheddar (Includes foods for USDA's Food Distribution Program)",403.0,22.9,33.3,3.37,76.0,710.0,27.0,cheese
200,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",72.0,10.3,0.29,6.66,137.0,86.0,11.0,cheese
244,"Cheese, cheddar, reduced fat (Includes foods for USDA's Food Distribution Program)",316.0,27.4,20.4,2.67,63.0,761.0,27.0,cheese
